Month,temp_max_daily,temp_min_daily,temp_max_extreme,temp_min_extreme,rainfall_total,rainfall_max_daily,rainy_days,sunshine_mean_daily,humidity_min,humidity_mean_24hr
2003-02-01,30.8,24.4,32.6,22.8,172.9,82.2,13,5.8,55,85
2003-01-01,30.1,24.4,32.4,23.2,444.2,194.4,20,4.7,56,86.9
2002-12-01,31.3,24.7,33,23,255,38.6,24,4.8,56,88.7
2002-11-01,31.7,24.5,34,23.1,307.2,84,15,4.6,56,85.8
2002-10-01,33,25.7,34.6,24.1,10.8,3.2,7,6.2,42,79.8
2002-09-01,31.7,25.1,33.2,22,124.2,38.9,9,5.5,49,81.7
2002-08-01,31.9,25.6,33.6,22.4,54.2,17.8,14,6.7,50,79.2
2002-07-01,31.9,25.5,33,22.9,233.7,69.5,11,6.8,56,82.7
2002-06-01,32.1,26,33.3,23.7,83.1,45.8,12,6.3,56,82.1
2002-05-01,32.6,26.1,34.1,23.2,236.6,75.9,13,6.2,52,82.3
2002-04-01,33,25.6,34.3,23,116.5,39.4,13,6.6,50,82.3
2002-03-01,33,25.1,34.8,23.5,55.6,26.4,8,7.6,40,80.8
2002-02-01,31.3,24.5,32.5,22.1,50.8,41.7,2,7.4,53,80.9
2002-01-01,30.9,24.5,33.5,23.4,221.2,83.8,11,6.9,49,83.6
2001-12-01,30.7,24.1,33.2,22.2,609,211.1,20,4.5,55,86.8
2001-11-01,30.8,24.7,33.2,23.2,175.3,102.6,15,3.7,54,84.9
2001-10-01,31.4,24.7,34,22.6,252.2,77.2,20,4.2,47,83.7
2001-09-01,31.6,25.2,33.1,22.8,162,74.3,13,6.2,54,82.3
2001-08-01,31.1,25.2,33.7,22.8,158.3,36.6,14,4.9,50,83.7
2001-07-01,32.2,25.5,33.7,23,111.3,44.8,9,8.1,50,80.8
2001-06-01,31.4,25.4,33.6,21.5,137.1,49.6,11,4.9,49,82.5
2001-05-01,32.2,25.7,33.5,22.4,164.9,56.1,12,6,57,85
2001-04-01,31.8,25.1,33.5,23.2,203.3,68.9,18,5.4,50,86
2001-03-01,31.8,24.2,33.7,22.7,297.3,41.1,20,5.4,50,84.5
2001-02-01,30.9,24.5,32.4,23,86.6,28.2,11,4.9,58,83.6
2001-01-01,30.3,24,32.8,22.7,425.8,125.4,21,4.4,49,87.4
2000-12-01,31,24.4,32.6,23,236,45.8,18,4.2,60,87.6
2000-11-01,31.3,24.7,34.2,22.9,385.7,72,21,3.7,47,87.1
2000-10-01,31.8,24.9,34.1,22.9,120.9,38.3,14,4,51,82.1
2000-09-01,32.1,25.2,34.3,23.5,81.1,25.7,12,6.2,48,82.2
2000-08-01,30.7,24.8,33.3,22.2,113.5,28.1,18,5.1,46,83.8
2000-07-01,31.6,25.3,33.1,22.1,116.1,34.6,12,6.5,56,82.6
2000-06-01,31.1,24.7,33.3,22.5,157.5,41.7,16,4.6,53,84.3
2000-05-01,32.7,25.7,34.2,22.6,96.8,36.7,10,6.8,49,82.4
2000-04-01,31.9,24.6,33.4,22.6,311.6,87.4,20,5.3,54,85.6
2000-03-01,31.9,24.3,34,20.2,238.3,37.9,15,5.8,44,85.8
2000-02-01,31,23.8,32.4,21.7,237.8,39.9,18,5.8,58,86.5
2000-01-01,29.8,23.9,31.8,22.8,275.2,127.6,14,4,60,86.9
1999-12-01,30.6,24.1,33,22.4,340.5,76.9,17,4.1,56,85.3
1999-11-01,31.3,24.5,33.4,22.9,241.5,39,19,4.7,47,84.4
1999-10-01,31.1,24.3,32.5,22.4,205,32.8,20,4.8,53,84.6
1999-09-01,31.9,24.9,33.9,22.1,125.9,41.5,13,6.5,50,81.7
1999-08-01,31,24.5,32.9,21.9,204,42.4,13,5.7,51,84.1
1999-07-01,31.2,24.7,32.9,21.6,225.4,51.4,11,6.8,56,82.7
1999-06-01,31.8,25.3,33.7,21.8,103.4,34.5,13,6,54,81.9
1999-05-01,31.7,25.3,34.2,23.7,157.1,42.8,13,5.7,52,84.4
1999-04-01,32.4,25.4,34.4,23,88.5,29.2,14,5.8,46,82.6
1999-03-01,31.5,24.4,33,22,181.4,52.4,16,4.3,56,87.5
1999-02-01,31.3,24.5,33,22,67.4,32.1,9,6.7,58,82.4
1999-01-01,30.4,24.3,32.8,22.6,193.9,52.5,19,3.9,60,88.3
1998-12-01,30.4,24.2,32.6,22.8,463.4,84.4,22,3.1,55,88.5
1998-11-01,31.7,24.9,34.1,23.4,107.2,57.5,11,4.6,49,81.9
1998-10-01,31.9,24.6,34.5,22.5,222.7,32.4,20,5,48,82.3
1998-09-01,31.1,24.9,33.1,22.7,258.2,52,17,4.5,47,84.1
1998-08-01,30.9,24.7,32.8,23.2,195,35.5,18,4.6,56,85.4
1998-07-01,31.5,24.9,33.6,22.7,259.2,55.8,18,5.1,51,81.8
1998-06-01,32.4,25.4,34.7,22.9,198.8,42.8,15,5.3,50,82.1
1998-05-01,33.1,26.3,34.8,24.5,370.8,83.7,18,5.9,53,82.3
1998-04-01,33.1,26.3,34.8,24.2,187.7,64.9,13,6.7,53,81.8
1998-03-01,34.1,26.3,36,24.4,58.8,20.9,7,7.6,47,77.8
1998-02-01,33.1,25.9,34.6,24.3,32.5,11.9,5,8.9,50,78.3
1998-01-01,31.8,25.3,33.6,23.5,268.8,79.7,13,7.4,53,83.2
1997-12-01,31.3,24.6,32.9,23,351.9,65.8,23,5.3,50,85.3
1997-11-01,32,24.8,33.7,23.5,158.3,53.6,13,5.4,50,82.8
1997-10-01,32.4,25.1,34.5,22.8,78.4,36.5,8,3.2,49,81
1997-09-01,32.2,26.3,33.8,24.1,31.1,24.3,3,3.2,43,77
